"","INDEX","TARGET","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","HOME_VAL","TRAVTIME","BLUEBOOK","TIF","OLDCLAIM","CLM_FREQ","MVR_PTS","CAR_AGE"
"1",1,2946,0,34,1,12,125301,0,46,17430,1,0,0,0,7
"2",2,6477,1,40,1,11,50815,0,21,18930,6,3295,1,2,1
"3",4,2501,0,34,0,10,62978,0,34,11200,1,0,0,0,1
"4",5,6077,0,53,0,14,77100,0,15,18300,1,0,0,0,11
"5",6,1267,0,53,0,11,130795,0,64,28340,6,0,0,3,10
"6",7,2920,0,45,0,0,0,106859,48,6000,1,0,0,3,5
"7",8,4111,0,59,0,12,87460,0,45,15420,1,44857,2,4,1
"8",11,5247,0,60,0,12,37940,182739,16,11290,1,0,0,0,1
"9",12,4486,0,32,1,9,31275,118160,26,10030,1,0,0,0,1
"10",13,4901,0,54,0,12,33212,158432,27,24000,4,0,0,5,1
"11",14,6100,0,40,0,11,16989,0,20,12230,4,26104,1,13,6
"12",15,6195,1,37,2,13,9785,0,62,9360,4,0,0,0,14
"13",16,8841,0,44,2,15,16352,134164,37,10520,1,7838,1,1,1
"14",17,2117,1,45,1,14,63952,196368,50,32340,6,27877,2,0,13
"15",19,3532,1,44,2,7,24060,0,24,14220,4,0,0,0,10
"16",20,866,0,33,4,12,20822,76022,46,6880,13,7896,3,0,1
"17",22,5426,0,35,2,12,77,0,43,9730,5,0,0,4,4
"18",23,4148,2,43,3,11,137103,0,29,19510,1,8890,3,0,15
"19",24,2371,1,45,2,11,102393,0,25,1500,1,0,0,2,11
"20",25,4178,0,62,0,15,40656,208242,57,9170,4,42342,2,2,7
"21",26,4804,1,37,2,12,24464,205211,43,5200,1,2718,1,1,3
"22",27,1354,0,48,0,12,31773,165090,14,9640,13,1212,1,4,1
"23",28,2425,0,53,0,6,38036,153381,32,13140,1,0,0,4,1
"24",29,5711,0,34,3,0,0,66358,25,11740,9,1800,2,2,1
"25",32,7838,0,33,4,0,0,0,14,15090,1,1631,1,2,5
"26",33,3660,0,37,0,0,0,73890,48,12850,7,0,0,3,6
"27",34,5125,0,47,0,11,44705,217885,50,12840,1,1533,2,0,10
"28",35,5085,0,64,0,15,31738,197010,23,14620,6,3994,2,0,1
"29",36,2143,0,52,0,7,64014,244863,33,7900,4,8882,3,1,5
"30",38,4028,0,26,0,8,53244,0,28,20920,3,6224,1,1,8
"31",40,8671,1,38,1,12,37580,173495,36,5260,7,867,2,0,1
"32",41,6287,0,41,2,15,23344,147172,10,7930,1,0,0,1,1
"33",42,3524,0,41,0,12,110386,335488,21,16640,1,0,0,2,14
"34",43,1807,1,43,2,11,76159,0,52,19750,4,0,0,0,1
"35",44,10594,0,42,0,0,0,0,47,5700,11,0,0,5,1
"36",45,6158,0,43,2,15,49849,0,35,13130,1,3622,3,4,20
"37",46,4887,1,39,1,16,12054,0,28,15760,4,1738,2,4,1
"38",48,2214,0,26,3,9,33283,104323,37,7690,10,0,0,2,16
"39",49,6087,0,42,0,12,136344,0,45,13160,1,0,0,0,17
"40",50,3894,0,39,0,12,32936,169721,12,1500,6,0,0,0,7
"41",51,2659,1,45,3,0,0,0,36,16510,4,17445,3,0,1
"42",52,3705,0,62,0,12,22181,185459,24,17880,7,9873,3,5,1
"43",53,6693,0,53,0,15,84345,264549,36,9930,4,0,0,3,5
"44",54,4380,0,42,0,10,43174,208811,48,10020,13,0,0,0,1
"45",55,1826,0,31,2,14,30653,0,41,12930,13,35666,2,0,7
"46",56,6716,3,36,4,0,0,0,54,1500,4,0,0,5,10
"47",57,4644,1,45,2,17,111268,288071,46,24600,1,28026,2,2,10
"48",58,53571,0,36,3,11,49703,253132,37,42550,1,35879,1,0,20
"49",59,4257,0,53,0,13,25289,108139,31,13850,1,0,0,0,7
"50",61,2832,0,32,3,13,30955,111256,9,7800,4,0,0,0,8
"51",65,4658,1,39,2,15,61370,0,6,21770,6,35577,3,0,12
"52",66,5259,0,54,0,11,44782,148676,83,30260,3,0,0,0,9
"53",67,3769,2,45,2,12,30085,128194,44,7200,4,0,0,3,8
"54",69,4363,0,44,0,8,32317,0,68,22450,7,3738,1,8,1
"55",70,5523,0,47,0,0,21282,0,40,18150,1,6544,1,3,16
"56",71,7390,0,64,0,13,61521,248878,41,7650,1,0,0,8,9
"57",72,1165,0,34,1,9,105554,229868,75,5300,4,7504,2,2,20
"58",73,2362,1,42,1,3,69290,0,30,23900,4,1052,2,1,11
"59",74,6142,0,34,2,8,2954,0,21,3100,9,10099,2,4,5
"60",77,5075,0,50,0,13,2657,109134,63,10480,13,20452,2,2,11
"61",78,680,0,57,0,12,636,0,19,11650,4,10231,1,0,1
"62",79,2287,1,42,2,12,68090,169854,45,11750,1,9261,1,3,12
"63",80,6195,0,45,2,4,25032,0,34,6100,1,5771,1,5,1
"64",81,4862,0,54,0,12,52078,194227,51,23250,1,5039,1,4,18
"65",82,9776,0,25,1,9,51544,127447,44,20630,1,7767,2,8,1
"66",84,3418,0,29,1,8,73842,0,25,22340,1,4769,1,4,1
"67",85,4423,1,45,2,0,0,0,33,6000,1,41818,1,3,1
"68",86,2328,0,41,1,13,109957,260749,50,29470,6,0,0,1,18
"69",88,6880,0,62,0,12,33713,171810,26,23470,4,41913,3,0,15
"70",89,3644,0,36,0,13,20891,134406,39,5100,1,2949,2,9,7
"71",90,4758,0,35,2,10,17493,102902,52,19340,9,5658,3,7,1
"72",91,4875,0,45,3,14,94325,301739,55,6960,1,0,0,2,14
"73",93,5395,0,32,2,9,60050,212562,31,11480,1,17493,4,2,1
"74",94,5021,2,39,2,11,59763,0,16,22920,1,0,0,0,10
"75",95,2891,0,32,4,15,4478,0,7,6780,4,7181,3,5,8
"76",96,3149,0,35,0,7,62036,154297,5,16370,4,3913,2,7,1
"77",97,3602,0,64,0,15,40528,208306,54,11950,7,5137,1,6,6
"78",99,2449,0,44,1,11,75046,244819,56,9000,4,3288,3,6,10
"79",100,3259,0,40,1,12,39600,193495,37,5460,1,4188,2,5,1
"80",101,21823,0,38,0,10,75432,0,51,16260,1,8035,3,0,13
"81",102,3085,0,43,1,0,0,86118,41,14240,4,0,0,1,1
"82",103,3593,0,55,0,0,0,68500,11,8560,6,3769,2,5,14
"83",104,458,0,54,0,12,10617,0,14,7960,10,1079,2,2,9
"84",105,6143,0,46,0,8,140766,375813,41,29220,13,0,0,1,13
"85",108,5619,0,42,2,11,34210,186734,34,12880,6,1830,1,0,1
"86",109,1766,0,46,0,15,31177,150102,41,25420,9,0,0,1,1
"87",110,2262,0,51,0,13,65702,0,27,15820,1,7181,2,3,1
"88",111,40152,0,58,0,11,51870,0,36,24520,4,0,0,5,1
"89",112,1237,0,41,0,14,99959,268154,13,18850,6,0,0,1,11
"90",114,1650,1,37,2,0,0,0,18,1500,3,0,0,3,1
"91",115,14834,0,49,0,13,28592,183206,31,9260,1,39892,3,6,1
"92",116,1796,0,42,2,13,64766,263986,20,11840,18,44414,1,1,1
"93",117,4057,1,37,2,11,62426,209548,20,11440,13,981,1,0,1
"94",118,5177,0,25,1,12,40095,0,38,22720,3,1992,2,6,9
"95",119,5287,1,40,2,7,52423,150723,30,7420,6,0,0,2,1
"96",121,3008,0,54,0,10,62215,244460,30,21840,1,6600,2,3,5
"97",122,3943,0,49,0,8,37356,133175,63,6400,1,7993,1,7,6
"98",124,5363,0,37,3,17,6217,0,27,22260,10,0,0,0,4
"99",127,2872,0,40,0,5,57063,0,46,16250,10,0,0,0,19
"100",130,4579,0,46,0,7,106409,0,42,24410,6,6948,1,0,18
"101",132,4997,1,72,2,18,27625,162415,32,18960,6,8571,1,8,1
"102",133,8662,2,36,3,13,28326,145411,37,26280,7,39535,3,2,8
"103",134,5952,0,63,0,15,26921,140455,19,14360,1,30288,1,2,11
"104",136,5440,0,35,0,13,64488,145021,37,21820,1,1144,3,5,7
"105",137,7719,0,33,2,9,31675,159621,25,9130,7,32882,1,6,1
"106",138,8289,1,39,2,7,66367,177942,35,5560,1,2949,2,3,1
"107",139,2353,0,56,2,17,29524,198107,52,14250,14,0,0,1,7
"108",140,2289,0,41,0,6,86227,237057,28,19530,9,2948,3,2,17
"109",142,3428,0,42,0,8,94591,309644,21,17470,6,16121,3,3,8
"110",143,4898,0,33,0,11,249,0,30,10590,11,0,0,1,11
"111",144,4046,2,41,3,10,24862,0,26,7790,1,1055,4,2,10
"112",145,2812,0,50,0,0,0,113870,12,6500,6,0,0,0,6
"113",146,5050,0,41,3,11,64379,159061,35,9170,6,0,0,0,8
"114",149,46858,0,43,0,13,22623,184773,15,8060,1,0,0,2,1
"115",150,2058,0,51,0,12,40760,186223,24,11880,1,0,0,0,8
"116",152,4313,0,27,3,9,69794,0,24,14660,4,2848,1,3,6
"117",153,1736,0,33,1,11,25544,0,29,4050,1,3971,2,0,1
"118",154,4257,1,42,2,15,85408,274402,32,20170,10,697,2,0,8
"119",155,3492,0,55,0,11,3865,0,27,16600,1,6089,2,0,1
"120",158,3722,0,54,0,12,65298,213225,5,8030,17,4528,3,5,1
"121",159,6827,0,39,0,6,7680,0,51,12880,3,0,0,0,8
"122",160,1842,0,27,4,13,50139,167990,22,9210,1,1271,2,3,1
"123",161,8798,0,47,0,10,92543,236446,52,25250,6,30450,2,4,9
"124",162,5636,0,37,0,6,53895,161774,44,11250,17,0,0,0,11
"125",163,3414,0,43,2,12,60973,0,56,5800,1,0,0,1,8
"126",164,7161,0,36,0,10,85731,0,13,21660,10,4002,2,1,3
"127",165,26305,0,47,0,0,0,0,35,11610,7,19545,1,0,1
"128",166,5717,1,42,2,11,14166,0,36,23280,6,0,0,3,5
"129",167,4306,0,31,2,0,0,0,48,7740,4,7323,1,7,1
"130",168,1813,2,36,2,0,0,110346,28,5100,4,39425,3,1,9
"131",169,2463,1,57,2,0,0,0,29,9240,1,8336,2,5,1
"132",170,465,0,47,0,15,91221,263877,31,1500,4,5385,2,2,7
"133",171,5016,0,44,0,10,146338,0,21,22620,1,37211,3,3,10
"134",172,3354,0,47,0,12,47235,205801,27,10920,4,9933,2,2,1
"135",173,5911,0,48,0,10,7302,148049,27,7030,10,3564,1,3,1
"136",175,3998,0,58,0,14,37991,193868,23,14000,4,0,0,2,1
"137",176,3854,0,37,2,13,133335,0,15,21740,1,975,2,6,13
"138",177,3231,1,58,2,17,3272,0,42,7200,1,5086,2,2,5
"139",178,4611,0,38,2,14,58833,193644,41,17680,1,0,0,2,10
"140",179,917,0,72,0,16,63890,256797,41,9100,7,4448,3,0,6
"141",180,9162,0,40,0,9,5253,77463,23,23600,4,0,0,0,1
"142",181,3829,0,32,3,8,17224,193566,43,7080,4,0,0,0,11
"143",182,4846,0,57,0,14,200772,465304,27,9270,1,0,0,0,11
"144",183,6409,0,53,0,13,108744,333039,5,5430,1,3267,1,0,8
"145",184,3844,0,44,1,11,48374,215391,48,34640,1,0,0,0,8
"146",185,2595,0,27,0,8,77946,0,35,24340,1,4599,1,2,4
"147",187,22134,0,35,0,11,85430,0,14,13540,1,8062,2,2,1
"148",188,60838,0,48,0,11,81084,0,42,27360,1,2860,1,4,9
"149",189,2705,0,36,0,12,204373,0,20,5100,6,3423,3,0,20
"150",190,16840,3,62,3,16,33995,136008,42,7700,4,8002,3,4,1
"151",191,4423,0,55,0,10,39405,161357,28,10940,1,0,0,1,14
"152",192,5363,0,59,0,12,155410,422815,40,33330,7,4765,3,4,10
"153",194,5495,0,24,1,12,94566,239142,34,3900,1,0,0,2,16
"154",196,4194,0,48,0,11,26875,0,18,10450,1,3830,1,8,6
"155",197,5061,1,42,3,11,99269,306012,34,25910,7,45894,2,1,10
"156",198,5190,0,60,0,11,284071,290875,44,22780,4,8400,1,0,22
"157",199,3038,0,21,1,8,18483,0,20,8150,1,7781,2,3,1
"158",200,1030,0,50,0,9,58628,0,14,12360,1,0,0,0,15
"159",201,5109,0,59,0,11,8213,0,61,8840,6,2479,3,6,5
"160",202,2424,0,30,3,11,75891,222952,33,4500,4,3919,1,1,20
"161",203,27496,1,42,1,9,61995,0,52,36080,1,0,0,3,8
"162",204,5862,1,38,2,11,22938,0,38,14170,4,9785,2,0,1
"163",205,3960,0,32,0,10,16118,0,44,6380,1,7223,1,4,1
"164",206,1226,0,41,0,10,50331,0,23,18870,4,5581,2,7,1
"165",207,2471,2,37,2,5,36230,235987,50,11270,1,0,0,3,1
"166",208,3435,0,26,3,13,14822,0,5,8830,10,7486,3,9,1
"167",209,2838,0,51,0,13,51513,0,42,6650,4,33388,2,4,17
"168",210,4402,0,36,0,0,0,68436,62,2680,6,0,0,0,21
"169",211,5722,0,54,0,8,55742,186013,52,15810,10,9718,3,2,9
"170",214,2962,1,42,2,10,36230,158234,42,6480,4,9773,2,1,5
"171",215,4405,0,32,1,14,42667,150462,30,8130,6,5398,1,3,1
"172",216,5378,1,42,1,12,71686,0,37,12870,10,5982,2,2,10
"173",218,835,0,28,0,9,13410,0,27,4500,7,5575,2,2,10
"174",219,2931,0,42,1,11,200928,513817,25,5600,1,4020,1,2,14
"175",220,4578,0,30,2,11,13490,95447,5,5850,10,31401,3,1,1
"176",221,2982,0,33,1,12,92060,0,24,14010,5,0,0,0,10
"177",222,6331,0,57,0,13,27281,198619,24,22470,4,0,0,1,1
"178",224,5040,0,40,0,11,32265,0,46,8730,3,3979,1,7,1
"179",225,4539,0,56,0,13,44320,166535,48,12160,1,3211,1,7,15
"180",227,2408,0,42,2,14,73694,224623,37,5730,1,0,0,0,11
"181",229,2233,1,41,1,11,182782,0,36,23880,3,5639,2,5,14
"182",231,4214,0,28,4,12,94675,291876,47,10320,6,0,0,3,17
"183",232,5835,0,57,1,0,0,83843,36,9180,1,2933,2,8,1
"184",233,1418,2,40,3,16,96613,296274,30,24010,1,4426,2,3,5
"185",234,2439,0,53,0,11,27045,161922,54,6800,6,6523,3,4,7
"186",235,1062,0,48,0,11,75984,0,42,37310,1,40386,3,1,2
"187",236,3338,0,38,0,9,57890,0,19,25280,1,0,0,2,13
"188",237,4312,0,44,2,14,26377,169045,30,8540,1,4236,3,3,1
