INDEX,P_TARGET_FLAG
1,0
9,1
10,0
14,0
40,0
41,1
47,1
48,1
51,0
54,1
56,0
60,1
63,0
69,1
70,0
74,0
77,1
78,1
83,1
90,0
93,0
94,0
98,1
119,0
120,0
123,0
134,0
135,1
138,0
140,0
142,1
144,0
151,0
153,0
154,0
167,0
169,0
171,0
172,0
178,0
184,0
193,0
204,1
208,0
213,0
217,1
220,0
224,0
226,1
230,0
241,1
283,1
285,0
291,0
293,1
294,0
300,1
305,1
334,1
339,0
340,0
348,0
350,0
351,0
357,0
367,0
368,0
369,0
372,0
377,0
379,1
382,0
387,0
388,0
396,0
397,0
398,0
401,0
403,0
406,0
407,0
410,0
411,0
412,0
414,0
423,0
436,0
439,0
440,0
444,0
449,0
457,0
475,0
476,0
479,0
480,0
481,0
494,0
499,0
501,0
503,0
506,0
519,1
522,0
533,0
536,0
537,0
541,0
542,0
547,0
548,0
550,0
554,0
564,0
566,0
568,0
578,0
596,0
599,0
603,0
605,0
607,1
608,0
614,0
624,0
626,0
627,0
637,0
640,0
644,0
674,0
680,0
692,0
699,0
700,0
706,0
716,0
721,0
722,0
728,0
729,0
731,0
745,0
746,0
749,0
758,0
760,0
762,0
763,0
771,0
774,0
776,1
780,0
788,1
789,0
792,0
796,0
797,0
798,1
811,0
822,0
823,0
824,0
834,0
835,0
837,0
839,0
840,0
852,0
859,0
861,0
862,0
863,0
867,0
871,0
879,0
884,0
887,0
892,0
901,0
904,0
909,0
918,0
925,0
932,0
933,1
940,0
951,0
954,0
976,0
980,0
981,1
983,0
984,0
985,0
988,0
989,0
994,0
995,0
999,0
1000,0
1001,0
1007,0
1012,0
1016,0
1018,0
1027,0
1033,0
1043,0
1058,0
1062,0
1069,0
1070,0
1081,0
1084,0
1086,0
1098,0
1109,0
1111,1
1115,0
1117,0
1120,0
1146,0
1150,0
1156,0
1160,0
1166,0
1169,0
1172,0
1173,0
1174,0
1176,1
1178,1
1184,0
1187,0
1193,1
1196,1
1199,0
1207,0
1210,0
1218,0
1219,0
1223,1
1226,0
1227,0
1229,0
1238,0
1239,0
1241,1
1244,1
1246,0
1248,0
1249,0
1250,0
1253,0
1261,0
1286,0
1289,0
1294,0
1296,0
1305,0
1307,0
1314,1
1320,0
1323,0
1324,0
1328,0
1349,0
1353,0
1356,0
1363,0
1366,0
1371,0
1372,0
1376,0
1383,0
1389,0
1390,0
1393,0
1410,0
1411,0
1413,0
1414,0
1416,0
1421,0
1429,0
1430,0
1431,0
1436,0
1437,0
1442,0
1445,0
1450,0
1457,0
1463,1
1464,0
1468,0
1470,0
1471,0
1472,0
1483,0
1484,1
1491,0
1495,0
1501,0
1507,0
1512,0
1514,0
1517,1
1526,0
1528,0
1532,0
1549,0
1552,0
1555,0
1556,0
1559,0
1564,0
1585,0
1586,0
1590,1
1591,0
1592,0
1599,0
1601,1
1603,0
1604,0
1608,0
1612,0
1623,0
1626,1
1634,1
1645,0
1647,0
1649,0
1651,0
1659,0
1666,0
1673,0
1674,0
1687,0
1688,0
1691,0
1695,0
1700,0
1705,0
1708,0
1713,0
1717,0
1718,0
1721,0
1730,1
1737,0
1739,1
1748,0
1749,1
1763,0
1768,1
1771,0
1778,0
1780,0
1782,0
1784,1
1794,1
1803,0
1804,0
1808,0
1813,0
1816,0
1819,1
1825,0
1832,0
1833,0
1834,0
1839,0
1840,0
1842,0
1844,0
1846,0
1847,0
1854,0
1855,0
1857,0
1863,0
1864,0
1865,0
1869,1
1872,0
1874,0
1875,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,1
1886,1
1894,0
1896,0
1902,1
1915,0
1916,0
1918,0
1919,0
1921,0
1926,0
1929,0
1936,0
1938,0
1947,0
1977,0
1979,0
1982,0
1984,0
1986,0
1987,0
1991,0
1993,0
1994,0
1997,0
2004,0
2005,1
2011,0
2015,0
2019,0
2022,0
2025,0
2027,0
2031,1
2036,0
2047,1
2048,0
2057,0
2064,0
2066,0
2073,0
2078,0
2085,0
2087,0
2092,0
2093,0
2103,0
2110,0
2125,0
2133,0
2138,0
2144,0
2148,0
2152,0
2161,0
2162,0
2174,0
2186,0
2190,0
2191,0
2203,1
2214,0
2218,1
2221,0
2223,0
2225,0
2231,0
2232,0
2266,0
2267,0
2279,0
2285,0
2291,0
2293,0
2299,0
2303,0
2317,0
2318,1
2319,0
2330,0
2344,0
2346,0
2353,0
2355,0
2358,0
2359,0
2360,0
2384,0
2387,0
2389,0
2398,0
2403,0
2407,0
2408,0
2411,1
2415,0
2423,0
2424,0
2428,0
2432,0
2441,0
2464,0
2465,0
2471,0
2472,0
2474,0
2481,0
2487,0
2500,0
2501,0
2505,0
2510,0
2516,0
2520,0
2521,0
2524,0
2525,0
2533,0
2536,0
2537,0
2538,0
2543,0
2546,1
2547,0
2557,0
2571,0
2572,1
2578,0
2581,0
2589,1
2591,0
2598,0
2600,1
2604,1
2609,1
2614,0
2616,0
2618,0
